textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 17 Jun 2005,To: 17 Jun 2005,Laos,FY 2005,82,Ancestral Worship,82,206
From: 17 Jun 2005,To: 17 Jun 2005,Moldova,FY 2005,28,Baptist,24,206
From: 17 Jun 2005,To: 17 Jun 2005,Moldova,FY 2005,28,Pentecostalist,4,206
From: 17 Jun 2005,To: 17 Jun 2005,Russia,FY 2005,68,Moslem,68,206
From: 17 Jun 2005,To: 17 Jun 2005,Ukraine,FY 2005,28,Baptist,8,206
From: 17 Jun 2005,To: 17 Jun 2005,Ukraine,FY 2005,28,Jewish,3,206
From: 17 Jun 2005,To: 17 Jun 2005,Ukraine,FY 2005,28,No Religion,2,206
From: 17 Jun 2005,To: 17 Jun 2005,Ukraine,FY 2005,28,Pentecostalist,15,206

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 17 Jun 2005,To: 17 Jun 2005,Ancestral Worship,FY 2005,82,Laos,82,206
From: 17 Jun 2005,To: 17 Jun 2005,Baptist,FY 2005,32,Moldova,24,206
From: 17 Jun 2005,To: 17 Jun 2005,Baptist,FY 2005,32,Ukraine,8,206
From: 17 Jun 2005,To: 17 Jun 2005,Jewish,FY 2005,3,Ukraine,3,206
From: 17 Jun 2005,To: 17 Jun 2005,Moslem,FY 2005,68,Russia,68,206
From: 17 Jun 2005,To: 17 Jun 2005,No Religion,FY 2005,2,Ukraine,2,206
From: 17 Jun 2005,To: 17 Jun 2005,Pentecostalist,FY 2005,19,Moldova,4,206
From: 17 Jun 2005,To: 17 Jun 2005,Pentecostalist,FY 2005,19,Ukraine,15,206

