textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 20 Sep 2012,To: 20 Sep 2012,Afghanistan,FY 2012,7,Moslem Suni,7,368
From: 20 Sep 2012,To: 20 Sep 2012,Burma,FY 2012,151,Animist,5,368
From: 20 Sep 2012,To: 20 Sep 2012,Burma,FY 2012,151,Baptist,11,368
From: 20 Sep 2012,To: 20 Sep 2012,Burma,FY 2012,151,Buddhist,25,368
From: 20 Sep 2012,To: 20 Sep 2012,Burma,FY 2012,151,Catholic,9,368
From: 20 Sep 2012,To: 20 Sep 2012,Burma,FY 2012,151,Christian,88,368
From: 20 Sep 2012,To: 20 Sep 2012,Burma,FY 2012,151,Moslem,13,368
From: 20 Sep 2012,To: 20 Sep 2012,Cuba,FY 2012,37,Catholic,20,368
From: 20 Sep 2012,To: 20 Sep 2012,Cuba,FY 2012,37,Jehovah Witness,6,368
From: 20 Sep 2012,To: 20 Sep 2012,Cuba,FY 2012,37,No Religion,11,368
From: 20 Sep 2012,To: 20 Sep 2012,Eritrea,FY 2012,1,Moslem,1,368
From: 20 Sep 2012,To: 20 Sep 2012,Ethiopia,FY 2012,3,Moslem,3,368
From: 20 Sep 2012,To: 20 Sep 2012,Iran,FY 2012,8,Bahai,8,368
From: 20 Sep 2012,To: 20 Sep 2012,Iraq,FY 2012,143,Catholic,27,368
From: 20 Sep 2012,To: 20 Sep 2012,Iraq,FY 2012,143,Chaldean,2,368
From: 20 Sep 2012,To: 20 Sep 2012,Iraq,FY 2012,143,Christian,37,368
From: 20 Sep 2012,To: 20 Sep 2012,Iraq,FY 2012,143,Moslem Shiite,16,368
From: 20 Sep 2012,To: 20 Sep 2012,Iraq,FY 2012,143,Moslem Suni,57,368
From: 20 Sep 2012,To: 20 Sep 2012,Iraq,FY 2012,143,Orthodox,4,368
From: 20 Sep 2012,To: 20 Sep 2012,Somalia,FY 2012,14,Moslem,14,368
From: 20 Sep 2012,To: 20 Sep 2012,Sudan,FY 2012,2,Moslem,2,368
From: 20 Sep 2012,To: 20 Sep 2012,Ukraine,FY 2012,2,Pentecostalist,2,368

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 20 Sep 2012,To: 20 Sep 2012,Animist,FY 2012,5,Burma,5,368
From: 20 Sep 2012,To: 20 Sep 2012,Bahai,FY 2012,8,Iran,8,368
From: 20 Sep 2012,To: 20 Sep 2012,Baptist,FY 2012,11,Burma,11,368
From: 20 Sep 2012,To: 20 Sep 2012,Buddhist,FY 2012,25,Burma,25,368
From: 20 Sep 2012,To: 20 Sep 2012,Catholic,FY 2012,56,Burma,9,368
From: 20 Sep 2012,To: 20 Sep 2012,Catholic,FY 2012,56,Cuba,20,368
From: 20 Sep 2012,To: 20 Sep 2012,Catholic,FY 2012,56,Iraq,27,368
From: 20 Sep 2012,To: 20 Sep 2012,Chaldean,FY 2012,2,Iraq,2,368
From: 20 Sep 2012,To: 20 Sep 2012,Christian,FY 2012,125,Burma,88,368
From: 20 Sep 2012,To: 20 Sep 2012,Christian,FY 2012,125,Iraq,37,368
From: 20 Sep 2012,To: 20 Sep 2012,Jehovah Witness,FY 2012,6,Cuba,6,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem,FY 2012,33,Burma,13,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem,FY 2012,33,Eritrea,1,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem,FY 2012,33,Ethiopia,3,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem,FY 2012,33,Somalia,14,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem,FY 2012,33,Sudan,2,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem Shiite,FY 2012,16,Iraq,16,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem Suni,FY 2012,64,Afghanistan,7,368
From: 20 Sep 2012,To: 20 Sep 2012,Moslem Suni,FY 2012,64,Iraq,57,368
From: 20 Sep 2012,To: 20 Sep 2012,No Religion,FY 2012,11,Cuba,11,368
From: 20 Sep 2012,To: 20 Sep 2012,Orthodox,FY 2012,4,Iraq,4,368
From: 20 Sep 2012,To: 20 Sep 2012,Pentecostalist,FY 2012,2,Ukraine,2,368

