textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 21 Apr 2006,To: 21 Apr 2006,Liberia,FY 2006,5,Christian,5,53
From: 21 Apr 2006,To: 21 Apr 2006,Russia,FY 2006,22,Moslem,22,53
From: 21 Apr 2006,To: 21 Apr 2006,Ukraine,FY 2006,26,Jewish,8,53
From: 21 Apr 2006,To: 21 Apr 2006,Ukraine,FY 2006,26,No Religion,2,53
From: 21 Apr 2006,To: 21 Apr 2006,Ukraine,FY 2006,26,Pentecostalist,16,53

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 21 Apr 2006,To: 21 Apr 2006,Christian,FY 2006,5,Liberia,5,53
From: 21 Apr 2006,To: 21 Apr 2006,Jewish,FY 2006,8,Ukraine,8,53
From: 21 Apr 2006,To: 21 Apr 2006,Moslem,FY 2006,22,Russia,22,53
From: 21 Apr 2006,To: 21 Apr 2006,No Religion,FY 2006,2,Ukraine,2,53
From: 21 Apr 2006,To: 21 Apr 2006,Pentecostalist,FY 2006,16,Ukraine,16,53

