textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 11 Jan 2016,To: 11 Jan 2016,Afghanistan,FY 2016,2,Moslem,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Afghanistan,FY 2016,2,Moslem Shiite,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Belgium,FY 2016,2,Protestant,2,138
From: 11 Jan 2016,To: 11 Jan 2016,Dem. Rep. Congo,FY 2016,8,Christian,6,138
From: 11 Jan 2016,To: 11 Jan 2016,Dem. Rep. Congo,FY 2016,8,Pentecostalist,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Dem. Rep. Congo,FY 2016,8,Protestant,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Iran,FY 2016,30,Bahai,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Iran,FY 2016,30,Christian,16,138
From: 11 Jan 2016,To: 11 Jan 2016,Iran,FY 2016,30,Jewish,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Iran,FY 2016,30,Moslem Shiite,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Iran,FY 2016,30,No Religion,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Iran,FY 2016,30,Protestant,6,138
From: 11 Jan 2016,To: 11 Jan 2016,Iran,FY 2016,30,Zoroastrian,4,138
From: 11 Jan 2016,To: 11 Jan 2016,Iraq,FY 2016,30,Catholic,2,138
From: 11 Jan 2016,To: 11 Jan 2016,Iraq,FY 2016,30,Christian,3,138
From: 11 Jan 2016,To: 11 Jan 2016,Iraq,FY 2016,30,Moslem Shiite,11,138
From: 11 Jan 2016,To: 11 Jan 2016,Iraq,FY 2016,30,Moslem Suni,6,138
From: 11 Jan 2016,To: 11 Jan 2016,Iraq,FY 2016,30,Orthodox,8,138
From: 11 Jan 2016,To: 11 Jan 2016,Moldova,FY 2016,20,Baptist,7,138
From: 11 Jan 2016,To: 11 Jan 2016,Moldova,FY 2016,20,Pentecostalist,13,138
From: 11 Jan 2016,To: 11 Jan 2016,Norway,FY 2016,1,Moslem,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Somalia,FY 2016,15,Moslem,15,138
From: 11 Jan 2016,To: 11 Jan 2016,Syria,FY 2016,30,Moslem Suni,30,138

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 11 Jan 2016,To: 11 Jan 2016,Bahai,FY 2016,1,Iran,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Baptist,FY 2016,7,Moldova,7,138
From: 11 Jan 2016,To: 11 Jan 2016,Catholic,FY 2016,2,Iraq,2,138
From: 11 Jan 2016,To: 11 Jan 2016,Christian,FY 2016,25,Dem. Rep. Congo,6,138
From: 11 Jan 2016,To: 11 Jan 2016,Christian,FY 2016,25,Iran,16,138
From: 11 Jan 2016,To: 11 Jan 2016,Christian,FY 2016,25,Iraq,3,138
From: 11 Jan 2016,To: 11 Jan 2016,Jewish,FY 2016,1,Iran,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem,FY 2016,17,Afghanistan,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem,FY 2016,17,Norway,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem,FY 2016,17,Somalia,15,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem Shiite,FY 2016,13,Afghanistan,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem Shiite,FY 2016,13,Iran,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem Shiite,FY 2016,13,Iraq,11,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem Suni,FY 2016,36,Iraq,6,138
From: 11 Jan 2016,To: 11 Jan 2016,Moslem Suni,FY 2016,36,Syria,30,138
From: 11 Jan 2016,To: 11 Jan 2016,No Religion,FY 2016,1,Iran,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Orthodox,FY 2016,8,Iraq,8,138
From: 11 Jan 2016,To: 11 Jan 2016,Pentecostalist,FY 2016,14,Dem. Rep. Congo,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Pentecostalist,FY 2016,14,Moldova,13,138
From: 11 Jan 2016,To: 11 Jan 2016,Protestant,FY 2016,9,Belgium,2,138
From: 11 Jan 2016,To: 11 Jan 2016,Protestant,FY 2016,9,Dem. Rep. Congo,1,138
From: 11 Jan 2016,To: 11 Jan 2016,Protestant,FY 2016,9,Iran,6,138
From: 11 Jan 2016,To: 11 Jan 2016,Zoroastrian,FY 2016,4,Iran,4,138

