textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 05 Feb 2015,To: 05 Feb 2015,Afghanistan,FY 2015,8,Moslem Shiite,4,501
From: 05 Feb 2015,To: 05 Feb 2015,Afghanistan,FY 2015,8,Moslem Suni,4,501
From: 05 Feb 2015,To: 05 Feb 2015,Bhutan,FY 2015,50,Buddhist,12,501
From: 05 Feb 2015,To: 05 Feb 2015,Bhutan,FY 2015,50,Christian,9,501
From: 05 Feb 2015,To: 05 Feb 2015,Bhutan,FY 2015,50,Hindu,24,501
From: 05 Feb 2015,To: 05 Feb 2015,Bhutan,FY 2015,50,Kirat,5,501
From: 05 Feb 2015,To: 05 Feb 2015,Burma,FY 2015,124,Baptist,2,501
From: 05 Feb 2015,To: 05 Feb 2015,Burma,FY 2015,124,Buddhist,23,501
From: 05 Feb 2015,To: 05 Feb 2015,Burma,FY 2015,124,Catholic,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Burma,FY 2015,124,Christian,61,501
From: 05 Feb 2015,To: 05 Feb 2015,Burma,FY 2015,124,Methodist,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Burma,FY 2015,124,Moslem,35,501
From: 05 Feb 2015,To: 05 Feb 2015,Burma,FY 2015,124,Pentecostalist,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Cuba,FY 2015,41,Baptist,2,501
From: 05 Feb 2015,To: 05 Feb 2015,Cuba,FY 2015,41,Catholic,11,501
From: 05 Feb 2015,To: 05 Feb 2015,Cuba,FY 2015,41,Jehovah Witness,14,501
From: 05 Feb 2015,To: 05 Feb 2015,Cuba,FY 2015,41,No Religion,13,501
From: 05 Feb 2015,To: 05 Feb 2015,Cuba,FY 2015,41,Seventh Day Adventist,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Dem. Rep. Congo,FY 2015,35,Catholic,10,501
From: 05 Feb 2015,To: 05 Feb 2015,Dem. Rep. Congo,FY 2015,35,Christian,4,501
From: 05 Feb 2015,To: 05 Feb 2015,Dem. Rep. Congo,FY 2015,35,Moslem,10,501
From: 05 Feb 2015,To: 05 Feb 2015,Dem. Rep. Congo,FY 2015,35,Pentecostalist,6,501
From: 05 Feb 2015,To: 05 Feb 2015,Dem. Rep. Congo,FY 2015,35,Protestant,5,501
From: 05 Feb 2015,To: 05 Feb 2015,Eritrea,FY 2015,14,Moslem,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Eritrea,FY 2015,14,Orthodox,12,501
From: 05 Feb 2015,To: 05 Feb 2015,Eritrea,FY 2015,14,Protestant,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Ethiopia,FY 2015,8,Moslem,8,501
From: 05 Feb 2015,To: 05 Feb 2015,Iran,FY 2015,1,No Religion,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Iraq,FY 2015,104,Catholic,23,501
From: 05 Feb 2015,To: 05 Feb 2015,Iraq,FY 2015,104,Christian,11,501
From: 05 Feb 2015,To: 05 Feb 2015,Iraq,FY 2015,104,Moslem,5,501
From: 05 Feb 2015,To: 05 Feb 2015,Iraq,FY 2015,104,Moslem Shiite,19,501
From: 05 Feb 2015,To: 05 Feb 2015,Iraq,FY 2015,104,Moslem Suni,45,501
From: 05 Feb 2015,To: 05 Feb 2015,Iraq,FY 2015,104,Orthodox,1,501
From: 05 Feb 2015,To: 05 Feb 2015,Somalia,FY 2015,99,Moslem,87,501
