textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 22 Jul 2015,To: 22 Jul 2015,Afghanistan,FY 2015,8,Moslem Shiite,8,416
From: 22 Jul 2015,To: 22 Jul 2015,Belarus,FY 2015,1,Catholic,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Bhutan,FY 2015,57,Buddhist,12,416
From: 22 Jul 2015,To: 22 Jul 2015,Bhutan,FY 2015,57,Christian,14,416
From: 22 Jul 2015,To: 22 Jul 2015,Bhutan,FY 2015,57,Hindu,17,416
From: 22 Jul 2015,To: 22 Jul 2015,Bhutan,FY 2015,57,Kirat,14,416
From: 22 Jul 2015,To: 22 Jul 2015,Burma,FY 2015,84,Animist,4,416
From: 22 Jul 2015,To: 22 Jul 2015,Burma,FY 2015,84,Buddhist,13,416
From: 22 Jul 2015,To: 22 Jul 2015,Burma,FY 2015,84,Catholic,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Burma,FY 2015,84,Christian,46,416
From: 22 Jul 2015,To: 22 Jul 2015,Burma,FY 2015,84,Moslem,14,416
From: 22 Jul 2015,To: 22 Jul 2015,Burundi,FY 2015,35,Catholic,9,416
From: 22 Jul 2015,To: 22 Jul 2015,Burundi,FY 2015,35,Christian,2,416
From: 22 Jul 2015,To: 22 Jul 2015,Burundi,FY 2015,35,Moslem,9,416
From: 22 Jul 2015,To: 22 Jul 2015,Burundi,FY 2015,35,Pentecostalist,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Burundi,FY 2015,35,Protestant,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Burundi,FY 2015,35,Seventh Day Adventist,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Colombia,FY 2015,24,Catholic,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Colombia,FY 2015,24,Christian,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Colombia,FY 2015,24,Evangelical Christian,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Colombia,FY 2015,24,No Religion,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Dem. Rep. Congo,FY 2015,58,Christian,2,416
From: 22 Jul 2015,To: 22 Jul 2015,Dem. Rep. Congo,FY 2015,58,Methodist,18,416
From: 22 Jul 2015,To: 22 Jul 2015,Dem. Rep. Congo,FY 2015,58,Moslem,14,416
From: 22 Jul 2015,To: 22 Jul 2015,Dem. Rep. Congo,FY 2015,58,Pentecostalist,6,416
From: 22 Jul 2015,To: 22 Jul 2015,Dem. Rep. Congo,FY 2015,58,Protestant,3,416
From: 22 Jul 2015,To: 22 Jul 2015,Dem. Rep. Congo,FY 2015,58,Seventh Day Adventist,15,416
From: 22 Jul 2015,To: 22 Jul 2015,Eritrea,FY 2015,10,Moslem,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Eritrea,FY 2015,10,Orthodox,4,416
From: 22 Jul 2015,To: 22 Jul 2015,Eritrea,FY 2015,10,Protestant,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Ethiopia,FY 2015,11,Christian,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Ethiopia,FY 2015,11,Moslem,3,416
From: 22 Jul 2015,To: 22 Jul 2015,Ethiopia,FY 2015,11,Protestant,6,416
From: 22 Jul 2015,To: 22 Jul 2015,Ethiopia,FY 2015,11,Seventh Day Adventist,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Iran,FY 2015,40,Christian,24,416
From: 22 Jul 2015,To: 22 Jul 2015,Iran,FY 2015,40,Moslem Shiite,6,416
From: 22 Jul 2015,To: 22 Jul 2015,Iran,FY 2015,40,Orthodox,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Iran,FY 2015,40,Protestant,8,416
From: 22 Jul 2015,To: 22 Jul 2015,Iran,FY 2015,40,Sabeans-Mandean,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Iraq,FY 2015,11,Catholic,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Iraq,FY 2015,11,Moslem Suni,6,416
From: 22 Jul 2015,To: 22 Jul 2015,Russia,FY 2015,5,Baptist,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Rwanda,FY 2015,1,Jehovah Witness,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Somalia,FY 2015,58,Moslem,58,416
From: 22 Jul 2015,To: 22 Jul 2015,Sudan,FY 2015,5,Moslem,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Ukraine,FY 2015,8,Pentecostalist,8,416

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 22 Jul 2015,To: 22 Jul 2015,Animist,FY 2015,4,Burma,4,416
From: 22 Jul 2015,To: 22 Jul 2015,Baptist,FY 2015,5,Russia,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Buddhist,FY 2015,25,Bhutan,12,416
From: 22 Jul 2015,To: 22 Jul 2015,Buddhist,FY 2015,25,Burma,13,416
From: 22 Jul 2015,To: 22 Jul 2015,Catholic,FY 2015,29,Belarus,1,416
From: 22 Jul 2015,To: 22 Jul 2015,Catholic,FY 2015,29,Burma,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Catholic,FY 2015,29,Burundi,9,416
From: 22 Jul 2015,To: 22 Jul 2015,Catholic,FY 2015,29,Colombia,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Catholic,FY 2015,29,Iraq,5,416
From: 22 Jul 2015,To: 22 Jul 2015,Christian,FY 2015,96,Bhutan,14,416
From: 22 Jul 2015,To: 22 Jul 2015,Christian,FY 2015,96,Burma,46,416
From: 22 Jul 2015,To: 22 Jul 2015,Christian,FY 2015,96,Burundi,2,416
From: 22 Jul 2015,To: 22 Jul 2015,Christian,FY 2015,96,Colombia,7,416
From: 22 Jul 2015,To: 22 Jul 2015,Christian,FY 2015,96,Dem. Rep. Congo,2,416
