textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 09 Sep 2005,To: 09 Sep 2005,Iran,FY 2005,27,Bahai,27,289
From: 09 Sep 2005,To: 09 Sep 2005,Laos,FY 2005,23,Ancestral Worship,22,289
From: 09 Sep 2005,To: 09 Sep 2005,Laos,FY 2005,23,Christian,1,289
From: 09 Sep 2005,To: 09 Sep 2005,Liberia,FY 2005,45,Christian,15,289
From: 09 Sep 2005,To: 09 Sep 2005,Liberia,FY 2005,45,Moslem,30,289
From: 09 Sep 2005,To: 09 Sep 2005,Russia,FY 2005,70,Moslem,70,289
From: 09 Sep 2005,To: 09 Sep 2005,Somalia,FY 2005,42,Moslem,42,289
From: 09 Sep 2005,To: 09 Sep 2005,Sudan,FY 2005,1,Moslem,1,289
From: 09 Sep 2005,To: 09 Sep 2005,Ukraine,FY 2005,30,Evangelical Christian,5,289
From: 09 Sep 2005,To: 09 Sep 2005,Ukraine,FY 2005,30,Pentecostalist,22,289
From: 09 Sep 2005,To: 09 Sep 2005,Ukraine,FY 2005,30,Seventh Day Adventist,1,289
From: 09 Sep 2005,To: 09 Sep 2005,Ukraine,FY 2005,30,Ukr Orthodox,2,289
From: 09 Sep 2005,To: 09 Sep 2005,Vietnam,FY 2005,51,Ancestral Worship,7,289
From: 09 Sep 2005,To: 09 Sep 2005,Vietnam,FY 2005,51,Buddhist,9,289
From: 09 Sep 2005,To: 09 Sep 2005,Vietnam,FY 2005,51,Catholic,12,289
From: 09 Sep 2005,To: 09 Sep 2005,Vietnam,FY 2005,51,No Religion,15,289
From: 09 Sep 2005,To: 09 Sep 2005,Vietnam,FY 2005,51,Protestant,5,289
From: 09 Sep 2005,To: 09 Sep 2005,Vietnam,FY 2005,51,Unknown,3,289

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 09 Sep 2005,To: 09 Sep 2005,Ancestral Worship,FY 2005,29,Laos,22,289
From: 09 Sep 2005,To: 09 Sep 2005,Ancestral Worship,FY 2005,29,Vietnam,7,289
From: 09 Sep 2005,To: 09 Sep 2005,Bahai,FY 2005,27,Iran,27,289
From: 09 Sep 2005,To: 09 Sep 2005,Buddhist,FY 2005,9,Vietnam,9,289
From: 09 Sep 2005,To: 09 Sep 2005,Catholic,FY 2005,12,Vietnam,12,289
From: 09 Sep 2005,To: 09 Sep 2005,Christian,FY 2005,16,Laos,1,289
From: 09 Sep 2005,To: 09 Sep 2005,Christian,FY 2005,16,Liberia,15,289
From: 09 Sep 2005,To: 09 Sep 2005,Evangelical Christian,FY 2005,5,Ukraine,5,289
From: 09 Sep 2005,To: 09 Sep 2005,Moslem,FY 2005,143,Liberia,30,289
From: 09 Sep 2005,To: 09 Sep 2005,Moslem,FY 2005,143,Russia,70,289
From: 09 Sep 2005,To: 09 Sep 2005,Moslem,FY 2005,143,Somalia,42,289
From: 09 Sep 2005,To: 09 Sep 2005,Moslem,FY 2005,143,Sudan,1,289
From: 09 Sep 2005,To: 09 Sep 2005,No Religion,FY 2005,15,Vietnam,15,289
From: 09 Sep 2005,To: 09 Sep 2005,Pentecostalist,FY 2005,22,Ukraine,22,289
From: 09 Sep 2005,To: 09 Sep 2005,Protestant,FY 2005,5,Vietnam,5,289
From: 09 Sep 2005,To: 09 Sep 2005,Seventh Day Adventist,FY 2005,1,Ukraine,1,289
From: 09 Sep 2005,To: 09 Sep 2005,Ukr Orthodox,FY 2005,2,Ukraine,2,289
From: 09 Sep 2005,To: 09 Sep 2005,Unknown,FY 2005,3,Vietnam,3,289

