textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 16 Sep 2010,To: 16 Sep 2010,Afghanistan,FY 2010,1,Moslem Shiite,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Belarus,FY 2010,2,No Religion,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Belarus,FY 2010,2,Pentecostalist,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Bhutan,FY 2010,124,Buddhist,16,499
From: 16 Sep 2010,To: 16 Sep 2010,Bhutan,FY 2010,124,Christian,10,499
From: 16 Sep 2010,To: 16 Sep 2010,Bhutan,FY 2010,124,Hindu,98,499
From: 16 Sep 2010,To: 16 Sep 2010,Burma,FY 2010,90,Animist,2,499
From: 16 Sep 2010,To: 16 Sep 2010,Burma,FY 2010,90,Baptist,4,499
From: 16 Sep 2010,To: 16 Sep 2010,Burma,FY 2010,90,Buddhist,8,499
From: 16 Sep 2010,To: 16 Sep 2010,Burma,FY 2010,90,Catholic,12,499
From: 16 Sep 2010,To: 16 Sep 2010,Burma,FY 2010,90,Christian,58,499
From: 16 Sep 2010,To: 16 Sep 2010,Burma,FY 2010,90,Moslem,6,499
From: 16 Sep 2010,To: 16 Sep 2010,Burundi,FY 2010,9,Catholic,3,499
From: 16 Sep 2010,To: 16 Sep 2010,Burundi,FY 2010,9,Christian,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Burundi,FY 2010,9,Methodist,5,499
From: 16 Sep 2010,To: 16 Sep 2010,Dem. Rep. Congo,FY 2010,31,Catholic,19,499
From: 16 Sep 2010,To: 16 Sep 2010,Dem. Rep. Congo,FY 2010,31,Christian,6,499
From: 16 Sep 2010,To: 16 Sep 2010,Dem. Rep. Congo,FY 2010,31,Moslem,4,499
From: 16 Sep 2010,To: 16 Sep 2010,Dem. Rep. Congo,FY 2010,31,Seventh Day Adventist,2,499
From: 16 Sep 2010,To: 16 Sep 2010,Eritrea,FY 2010,41,Catholic,4,499
From: 16 Sep 2010,To: 16 Sep 2010,Eritrea,FY 2010,41,Christian,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Eritrea,FY 2010,41,Moslem,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Eritrea,FY 2010,41,Orthodox,27,499
From: 16 Sep 2010,To: 16 Sep 2010,Eritrea,FY 2010,41,Pentecostalist,7,499
From: 16 Sep 2010,To: 16 Sep 2010,Eritrea,FY 2010,41,Protestant,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Iran,FY 2010,3,Bahai,3,499
From: 16 Sep 2010,To: 16 Sep 2010,Iraq,FY 2010,122,Catholic,15,499
From: 16 Sep 2010,To: 16 Sep 2010,Iraq,FY 2010,122,Christian,46,499
From: 16 Sep 2010,To: 16 Sep 2010,Iraq,FY 2010,122,Moslem,5,499
From: 16 Sep 2010,To: 16 Sep 2010,Iraq,FY 2010,122,Moslem Shiite,14,499
From: 16 Sep 2010,To: 16 Sep 2010,Iraq,FY 2010,122,Moslem Suni,33,499
From: 16 Sep 2010,To: 16 Sep 2010,Iraq,FY 2010,122,Orthodox,8,499
From: 16 Sep 2010,To: 16 Sep 2010,Iraq,FY 2010,122,Other Religion,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Somalia,FY 2010,30,Moslem,20,499
From: 16 Sep 2010,To: 16 Sep 2010,Somalia,FY 2010,30,Moslem Suni,10,499
From: 16 Sep 2010,To: 16 Sep 2010,Sudan,FY 2010,27,Christian,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Sudan,FY 2010,27,Moslem,23,499
From: 16 Sep 2010,To: 16 Sep 2010,Sudan,FY 2010,27,Moslem Suni,3,499
From: 16 Sep 2010,To: 16 Sep 2010,Togo,FY 2010,7,Christian,7,499
From: 16 Sep 2010,To: 16 Sep 2010,Ukraine,FY 2010,12,Baptist,2,499
From: 16 Sep 2010,To: 16 Sep 2010,Ukraine,FY 2010,12,Pentecostalist,9,499
From: 16 Sep 2010,To: 16 Sep 2010,Ukraine,FY 2010,12,Seventh Day Adventist,1,499

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 16 Sep 2010,To: 16 Sep 2010,Animist,FY 2010,2,Burma,2,499
From: 16 Sep 2010,To: 16 Sep 2010,Bahai,FY 2010,3,Iran,3,499
From: 16 Sep 2010,To: 16 Sep 2010,Baptist,FY 2010,6,Burma,4,499
From: 16 Sep 2010,To: 16 Sep 2010,Baptist,FY 2010,6,Ukraine,2,499
From: 16 Sep 2010,To: 16 Sep 2010,Buddhist,FY 2010,24,Bhutan,16,499
From: 16 Sep 2010,To: 16 Sep 2010,Buddhist,FY 2010,24,Burma,8,499
From: 16 Sep 2010,To: 16 Sep 2010,Catholic,FY 2010,53,Burma,12,499
From: 16 Sep 2010,To: 16 Sep 2010,Catholic,FY 2010,53,Burundi,3,499
From: 16 Sep 2010,To: 16 Sep 2010,Catholic,FY 2010,53,Dem. Rep. Congo,19,499
From: 16 Sep 2010,To: 16 Sep 2010,Catholic,FY 2010,53,Eritrea,4,499
From: 16 Sep 2010,To: 16 Sep 2010,Catholic,FY 2010,53,Iraq,15,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Bhutan,10,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Burma,58,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Burundi,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Dem. Rep. Congo,6,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Eritrea,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Iraq,46,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Sudan,1,499
From: 16 Sep 2010,To: 16 Sep 2010,Christian,FY 2010,130,Togo,7,499
From: 16 Sep 2010,To: 16 Sep 2010,Hindu,FY 2010,98,Bhutan,98,499
From: 16 Sep 2010,To: 16 Sep 2010,Methodist,FY 2010,5,Burundi,5,499
From: 16 Sep 2010,To: 16 Sep 2010,Moslem,FY 2010,59,Burma,6,499
From: 16 Sep 2010,To: 16 Sep 2010,Moslem,FY 2010,59,Dem. Rep. Congo,4,499
