textbox9,textbox11,Textbox34
Nationality(s): All Nationalities,Religion(s): All Religions,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.

Textbox126,Textbox127,nat_definition3,region_name_2,textbox36,relig_definition1,Cases,Cases2
From: 13 Nov 2008,To: 13 Nov 2008,Bhutan,FY 2009,147,Buddhist,15,367
From: 13 Nov 2008,To: 13 Nov 2008,Bhutan,FY 2009,147,Christian,6,367
From: 13 Nov 2008,To: 13 Nov 2008,Bhutan,FY 2009,147,Hindu,126,367
From: 13 Nov 2008,To: 13 Nov 2008,Burma,FY 2009,115,Buddhist,7,367
From: 13 Nov 2008,To: 13 Nov 2008,Burma,FY 2009,115,Christian,90,367
From: 13 Nov 2008,To: 13 Nov 2008,Burma,FY 2009,115,Moslem,18,367
From: 13 Nov 2008,To: 13 Nov 2008,Burundi,FY 2009,39,Catholic,14,367
From: 13 Nov 2008,To: 13 Nov 2008,Burundi,FY 2009,39,Methodist,3,367
From: 13 Nov 2008,To: 13 Nov 2008,Burundi,FY 2009,39,Pentecostalist,22,367
From: 13 Nov 2008,To: 13 Nov 2008,Cambodia,FY 2009,5,Buddhist,5,367
From: 13 Nov 2008,To: 13 Nov 2008,China,FY 2009,1,Other Religion,1,367
From: 13 Nov 2008,To: 13 Nov 2008,Dem. Rep. Congo,FY 2009,9,Pentecostalist,9,367
From: 13 Nov 2008,To: 13 Nov 2008,Iraq,FY 2009,41,Catholic,7,367
From: 13 Nov 2008,To: 13 Nov 2008,Iraq,FY 2009,41,Christian,21,367
From: 13 Nov 2008,To: 13 Nov 2008,Iraq,FY 2009,41,Moslem Shiite,12,367
From: 13 Nov 2008,To: 13 Nov 2008,Iraq,FY 2009,41,Moslem Suni,1,367
From: 13 Nov 2008,To: 13 Nov 2008,Liberia,FY 2009,6,Christian,2,367
From: 13 Nov 2008,To: 13 Nov 2008,Liberia,FY 2009,6,Moslem,4,367
From: 13 Nov 2008,To: 13 Nov 2008,Zimbabwe,FY 2009,4,Christian,4,367

Textbox134,Textbox135,nat_definition4,region_name_3,textbox37,relig_definition2,Cases3,Cases4
From: 13 Nov 2008,To: 13 Nov 2008,Buddhist,FY 2009,27,Bhutan,15,367
From: 13 Nov 2008,To: 13 Nov 2008,Buddhist,FY 2009,27,Burma,7,367
From: 13 Nov 2008,To: 13 Nov 2008,Buddhist,FY 2009,27,Cambodia,5,367
From: 13 Nov 2008,To: 13 Nov 2008,Catholic,FY 2009,21,Burundi,14,367
From: 13 Nov 2008,To: 13 Nov 2008,Catholic,FY 2009,21,Iraq,7,367
From: 13 Nov 2008,To: 13 Nov 2008,Christian,FY 2009,123,Bhutan,6,367
From: 13 Nov 2008,To: 13 Nov 2008,Christian,FY 2009,123,Burma,90,367
From: 13 Nov 2008,To: 13 Nov 2008,Christian,FY 2009,123,Iraq,21,367
From: 13 Nov 2008,To: 13 Nov 2008,Christian,FY 2009,123,Liberia,2,367
From: 13 Nov 2008,To: 13 Nov 2008,Christian,FY 2009,123,Zimbabwe,4,367
From: 13 Nov 2008,To: 13 Nov 2008,Hindu,FY 2009,126,Bhutan,126,367
From: 13 Nov 2008,To: 13 Nov 2008,Methodist,FY 2009,3,Burundi,3,367
From: 13 Nov 2008,To: 13 Nov 2008,Moslem,FY 2009,22,Burma,18,367
From: 13 Nov 2008,To: 13 Nov 2008,Moslem,FY 2009,22,Liberia,4,367
From: 13 Nov 2008,To: 13 Nov 2008,Moslem Shiite,FY 2009,12,Iraq,12,367
From: 13 Nov 2008,To: 13 Nov 2008,Moslem Suni,FY 2009,1,Iraq,1,367
From: 13 Nov 2008,To: 13 Nov 2008,Other Religion,FY 2009,1,China,1,367
From: 13 Nov 2008,To: 13 Nov 2008,Pentecostalist,FY 2009,31,Burundi,22,367
From: 13 Nov 2008,To: 13 Nov 2008,Pentecostalist,FY 2009,31,Dem. Rep. Congo,9,367

